symptom,synonyms
fever,high temperature|running a fever|feverish feeling|elevated body temperature
chills,shivering|body chills|feeling very cold|uncontrollable shivering
fatigue,tiredness|extreme tiredness|low energy|feeling exhausted|weak
weakness,feeling weak|lack of strength|reduced strength|body weakness
weight loss,losing weight|unintentional weight loss|unexpected weight loss|body weight decrease
weight gain,gaining weight|rapid weight gain|unexpected weight gain|body weight increase
loss of appetite,no appetite|reduced appetite|lack of hunger|not feeling hungry
increased appetite,very hungry|excess hunger|increased hunger|always feeling hungry
night sweats,sweating at night|excess sweating during sleep|nighttime sweating|waking up sweating
sweating,excess sweating|heavy sweating|profuse sweating|excess perspiration
headache,head pain|pain in head|aching head|pressure in head
frontal headache,forehead pain|pain in forehead|frontal head pain|forehead headache
migraine headache,migraine attack|severe migraine|pulsating migraine pain|migraine episode
dizziness,feeling dizzy|lightheadedness|spinning sensation|loss of balance feeling
fainting,passing out|blackout|sudden collapse|temporary loss of consciousness
loss of consciousness,blacked out|unconsciousness|passed out|not conscious
confusion,mental confusion|disorientation|unclear thinking|trouble thinking clearly
memory loss,forgetfulness|trouble remembering|poor memory|difficulty remembering
difficulty concentrating,trouble focusing|poor concentration|cannot focus|focus difficulty
seizures,convulsions|seizure attack|epileptic episode|uncontrolled shaking
slurred speech,unclear speech|mumbled speech|slow speech|speech slurring
focal weakness,localized weakness|weakness in one area|one-sided weakness|partial body weakness
loss of sensation,numbness|loss of feeling|reduced sensation|cannot feel touch
tingling sensation,pins and needles|prickling sensation|tingling feeling|electric sensation
tremors,shaking hands|involuntary shaking|body tremble|hand tremors
muscle weakness,weak muscles|loss of muscle strength|muscle fatigue|reduced muscle power
muscle pain,muscle ache|aching muscles|sore muscles|muscle discomfort
muscle cramps,muscle spasms|painful muscle tightening|muscle tightening|cramping muscles
joint pain,pain in joints|aching joints|joint ache|joint discomfort
joint swelling,swollen joints|joint inflammation|puffy joints|enlarged joints
joint stiffness,stiff joints|difficulty moving joints|tight joints|restricted joint movement
back pain,back ache|pain in back|spinal pain|lower back ache
low back pain,lumbar pain|pain in lower back|lower spine pain|lumbar back ache
neck pain,neck ache|pain in neck|cervical pain|aching neck
shoulder pain,shoulder ache|pain in shoulder|aching shoulder|shoulder discomfort
hip pain,hip ache|pain in hip|aching hip|hip discomfort
knee pain,knee ache|pain in knee|aching knee|knee discomfort
ankle pain,ankle ache|pain in ankle|aching ankle|ankle discomfort
foot pain,foot ache|pain in foot|aching foot|foot discomfort
chest pain,pain in chest|chest ache|pressure in chest|chest discomfort
sharp chest pain,stabbing chest pain|sudden sharp chest pain|piercing chest pain|knife-like chest pain
burning chest pain,burning sensation in chest|acid burning chest pain|chest burning feeling|burning pressure in chest
chest tightness,tight chest|pressure in chest|squeezing chest feeling|constricted chest feeling
palpitations,heart pounding|fluttering heartbeat|heart racing|strong heartbeat sensation
irregular heartbeat,uneven heartbeat|abnormal heart rhythm|skipped heartbeat|irregular pulse
rapid heartbeat,fast heartbeat|heart racing|high pulse rate|tachycardia feeling
slow heartbeat,slow pulse|low heart rate|bradycardia feeling|sluggish heartbeat
shortness of breath,breathlessness|trouble breathing|cannot breathe properly|difficulty catching breath
difficulty breathing,breathing difficulty|hard to breathe|labored breathing|struggling to breathe
wheezing,whistling breathing|high pitched breathing|noisy breathing|wheezing sound
rapid breathing,fast breathing|quick breathing|short rapid breaths|increased breathing rate
abnormal breathing sounds,crackling breathing|unusual lung sounds|abnormal lung noise|strange breathing sounds
cough,persistent cough|dry cough|constant coughing|repeated coughing
productive cough,cough with mucus|wet cough|phlegm cough|mucus producing cough
coughing blood,blood in cough|bloody cough|coughing up blood|hemoptysis
nasal congestion,blocked nose|stuffy nose|nasal blockage|congested nose
runny nose,nasal discharge|dripping nose|watery nose|runny nasal mucus
sinus congestion,blocked sinuses|sinus blockage|sinus pressure|congested sinuses
sinus pain,pain in sinuses|sinus pressure pain|sinus headache|sinus ache
sore throat,throat pain|painful throat|irritated throat|throat soreness
hoarse voice,raspy voice|rough voice|voice hoarseness|weak voice
difficulty swallowing,trouble swallowing|pain while swallowing|swallowing difficulty|dysphagia feeling
throat swelling,swollen throat|inflamed throat|throat enlargement|throat puffiness
throat tightness,tight throat|constricted throat|pressure in throat|throat squeezing sensation
nausea,feeling nauseous|urge to vomit|queasy stomach|feeling sick
vomiting,throwing up|being sick|vomiting food|vomiting repeatedly
